query_id,query,category,answer,sources,word_count,latency_ms,model_version,expected_keywords
1,What is the return policy?,policy,"The return policy offers a 30-day money-back guarantee on all paid plans. If you are not satisfied within 30 days of your first payment, you can contact billing@company.com for a full refund, which will be returned to the original payment method within 5 to 10 business days. After 30 days, refunds are not available for monthly plans, but annual plans may be eligible for a prorated refund within 60 days if you contact support.","['refund-and-cancellation-policy.txt', 'zapier-terms.txt', 'zapier-terms.txt']",74,3211,v1,"return,30 days,receipt"
2,How do I reset my password?,how-to,"To reset your password, log out of your Figma account, visit the Figma website, and click ""Log in"" in the top-right corner. Then, click the ""Reset password"" link and follow the on-screen instructions to request a password reset email. Click the link in your password reset email, and Figma will prompt you to enter a new password.","['figma-getting-started.txt', 'figma-getting-started.txt', 'figma-getting-started.txt']",57,4036,v1,"reset,email,link,account"
3,What is the difference between plan A and plan B?,comparison,I don't have enough information to answer that.,"['zapier-terms.txt', 'zapier-terms.txt', 'pricing-and-plans.txt']",8,639,v1,"price,features,storage,users"
4,Can I use the product offline?,technical,"Yes, the desktop app supports limited offline access, allowing you to view and edit previously synced content without an internet connection. Changes sync automatically when you reconnect.","['security-and-data-storage.txt', 'technical-features.txt', 'security-and-data-storage.txt']",27,1811,v1,"offline,sync,internet,download"
5,How do I contact support?,contact,"You can contact support in several ways:

1. **Phone Support**: Available on Enterprise plans only. Enterprise customers receive a dedicated support number in their welcome email.
2. **Live Chat**: Available inside the app during support hours (Monday through Friday, 9am to 6pm Eastern Time). Click the chat icon in the bottom right corner to start a conversation with a support agent.
3. **Email Support**: Available 24/7 at support@company.com. They respond to all emails within one business day. For urgent billing issues, include URGENT in the subject line.
4. **Help Center**: You can browse the help center at help.company.com for instant answers to common questions.
5. **Community Forum**: Available at community.company.com for peer support at any time.","['support-and-contact.txt', 'support-and-contact.txt', 'slack-getting-started.txt']",116,4191,v1,"email,phone,chat,hours"
6,Is there a free trial available?,pricing,"Yes, a 14-day free trial is available — no credit card required to start.","['pricing-and-plans.txt', 'pricing-and-plans.txt', 'zapier-terms.txt']",14,920,v1,"trial,free,14 days,credit card"
7,How do I cancel my subscription?,policy,"To cancel your subscription, go to Settings > Billing > Cancel Plan.","['refund-and-cancellation-policy.txt', 'zapier-terms.txt', 'zapier-terms.txt']",12,1189,v1,"cancel,billing,refund,account"
8,What file formats are supported?,technical,"The supported file formats are CSV, Excel (XLSX), PDF, and plain text files.","['security-and-data-storage.txt', 'technical-features.txt', 'notion-import-data.txt']",13,1302,v1,"PDF,CSV,Excel,import"
9,How many users can share one account?,pricing,"The Starter plan supports up to 3 users, while the Pro and Enterprise plans support unlimited users.","['team-and-users.txt', 'pricing-and-plans.txt', 'team-and-users.txt']",17,1657,v1,"users,seats,team,plan"
10,Where is my data stored?,technical,"Your data is stored in the region you selected when creating your workspace, which can be either the United States or the European Union. However, certain information, such as workspace information, user account information, and user-created API keys, is always stored in the United States.","['linear-security.txt', 'linear-security.txt', 'linear-security.txt']",45,2790,v1,"server,cloud,region,encrypted"
